term,n_grams,count_pre_2023,count_2024_2025,doc_freq_pre_2023,doc_freq_2024_2025,log_odds_delta,z_score,associated_period
set,1,11,64,10,62,0.8944175818431663,3.0670352690494487,Pre-2023
family,1,7,29,5,12,1.17334388826505,3.034186805712586,Pre-2023
future,1,56,698,42,500,0.3380168234457317,3.0058606280280533,Pre-2023
informational,1,4,9,2,4,1.705927448170593,2.9983916974349443,Pre-2023
technology engineering,2,4,9,2,9,1.705927448170593,2.9983916974349443,Pre-2023
competencies required,2,4,9,4,9,1.705927448170593,2.9983916974349443,Pre-2023
grow,1,4,9,4,9,1.705927448170593,2.9983916974349443,Pre-2023
creators,1,4,9,3,8,1.705927448170593,2.9983916974349443,Pre-2023
summer,1,4,9,3,9,1.705927448170593,2.9983916974349443,Pre-2023
parents,1,9,47,4,14,0.9814657641494762,2.9900386419288028,Pre-2023
underrepresented groups,2,3,4,2,4,2.181304740418202,2.981943326098745,Pre-2023
machine technologies,2,3,4,2,4,2.181304740418202,2.981943326098745,Pre-2023
easy-to-use,1,3,4,1,4,2.181304740418202,2.981943326098745,Pre-2023
efforts,1,12,77,10,70,0.8170145276642593,2.9747769615679225,Pre-2023
define,1,5,16,3,16,1.3945931352106058,2.918486152769628,Pre-2023
derived,1,5,16,5,16,1.3945931352106058,2.918486152769628,Pre-2023
measure,1,8,40,7,34,1.0169472137332765,2.900020290299815,Pre-2023
educated,1,4,10,2,8,1.6118305067019794,2.888631030423926,Pre-2023
training program,2,4,10,2,9,1.6118305067019794,2.888631030423926,Pre-2023
big ideas,2,4,10,3,7,1.6118305067019794,2.888631030423926,Pre-2023
life,1,16,126,15,111,0.6602324924265908,2.8758598374523383,Pre-2023
platform,1,10,60,8,38,0.8698778620095293,2.858760203466184,Pre-2023
aspect,1,5,17,5,17,1.3420259622223814,2.8376350706258306,Pre-2023
trust transparency,2,3,5,1,4,1.9772530219317481,2.8367333890429367,Pre-2023
scientific discovery,2,3,5,1,4,1.9772530219317481,2.8367333890429367,Pre-2023
competition,1,3,5,3,4,1.9772530219317481,2.8367333890429367,Pre-2023
sense-making,1,3,5,2,5,1.9772530219317481,2.8367333890429367,Pre-2023
engage children,2,3,5,2,5,1.9772530219317481,2.8367333890429367,Pre-2023
different aspects,2,3,5,2,5,1.9772530219317481,2.8367333890429367,Pre-2023
entities,1,3,5,2,5,1.9772530219317481,2.8367333890429367,Pre-2023
automated,1,9,51,4,38,0.915452807844443,2.827008751594514,Pre-2023
area,1,9,51,8,49,0.915452807844443,2.827008751594514,Pre-2023
grade,1,7,33,5,30,1.0653741043405862,2.8144294446960387,Pre-2023
considered,1,8,42,7,42,0.9771060047731508,2.8089791542702374,Pre-2023
developed,1,23,220,17,197,0.5184270528160848,2.804930300516287,Pre-2023
augmentation,1,4,11,1,9,1.5273679837310699,2.7844631938062956,Pre-2023
digital media,2,4,11,2,11,1.5273679837310699,2.7844631938062956,Pre-2023
enabled,1,4,11,4,11,1.5273679837310699,2.7844631938062956,Pre-2023
able,1,7,34,7,29,1.04072537378911,2.762892568577357,Pre-2023
issues,1,21,197,16,173,0.5322467588952708,2.7416725029283766,Pre-2023
robotics,1,6,26,4,14,1.1355071580535396,2.738820143634011,Pre-2023
primary,1,18,158,13,98,0.5801378765620111,2.733020131803603,Pre-2023
useful,1,7,35,7,33,1.0169030683190226,2.7126028267530558,Pre-2023
review conducted,2,3,6,3,6,1.8118558918292607,2.6965364875374807,Pre-2023
real world,2,3,6,3,5,1.8118558918292607,2.6965364875374807,Pre-2023
construct validity,2,3,6,3,6,1.8118558918292607,2.6965364875374807,Pre-2023
frame,1,3,6,2,6,1.8118558918292607,2.6965364875374807,Pre-2023
functioning,1,3,6,2,5,1.8118558918292607,2.6965364875374807,Pre-2023
mass,1,3,6,1,6,1.8118558918292607,2.6965364875374807,Pre-2023
secondary,1,18,160,9,87,0.570989191555145,2.6961103748696993,Pre-2023
easy,1,4,12,3,12,1.4508712851376728,2.685663224042738,Pre-2023
basic understanding,2,4,12,4,10,1.4508712851376728,2.685663224042738,Pre-2023
non-experts,1,4,12,2,9,1.4508712851376728,2.685663224042738,Pre-2023
trustworthiness,1,5,19,2,13,1.2465201827910715,2.685440552898647,Pre-2023
everyday life,2,7,36,7,35,0.9938598740445128,2.663508419178734,Pre-2023
designed,1,19,175,18,162,0.5453350298962141,2.6629015961858724,Pre-2023
interface,1,6,28,4,21,1.0737377895487716,2.6217153432544857,Pre-2023
steam,1,6,28,2,8,1.0737377895487716,2.6217153432544857,Pre-2023
result,1,7,37,7,37,0.9715523521470466,2.615560258521479,Pre-2023
conceptual,1,17,152,7,119,0.5666997891265453,2.6032612437362115,Pre-2023
inform,1,9,57,7,54,0.8271456933676493,2.6024145435793797,Pre-2023
educate,1,4,13,4,13,1.3810683134615562,2.5919226357695564,Pre-2023
discovery,1,4,13,1,12,1.3810683134615562,2.5919226357695564,Pre-2023
schools,1,18,167,15,113,0.5400744788561491,2.570338174468684,Pre-2023
capable,1,6,29,6,28,1.0447301945150214,2.5657028093116665,Pre-2023
illustrated,1,3,7,3,7,1.6733160676213092,2.5643751104348533,Pre-2023
existing frameworks,2,3,7,1,7,1.6733160676213092,2.5643751104348533,Pre-2023
engage,1,18,168,14,158,0.5357925704615951,2.552787916565075,Pre-2023
curricular,1,5,21,2,19,1.1617096816914572,2.544695250009045,Pre-2023
media,1,18,169,5,82,0.5315430149007812,2.53533849936969,Pre-2023
big,1,6,30,5,21,1.0168589270619632,2.511273206792441,Pre-2023
surrounding,1,6,30,6,29,1.0168589270619632,2.511273206792441,Pre-2023
openness,1,4,14,1,14,1.3169670958246726,2.5029040819596244,Pre-2023
communicate,1,4,14,4,11,1.3169670958246726,2.5029040819596244,Pre-2023
science technology,2,4,14,2,13,1.3169670958246726,2.5029040819596244,Pre-2023
takes,1,4,14,3,14,1.3169670958246726,2.5029040819596244,Pre-2023
evaluated,1,9,60,8,60,0.7870727711288685,2.497995304995893,Pre-2023
young,1,15,132,7,81,0.5781933833617323,2.487679591120406,Pre-2023
new technologies,2,5,22,3,19,1.122680816219873,2.4781913635729516,Pre-2023
behavioral intention,2,7,40,2,19,0.9086592988256701,2.478140143752336,Pre-2023
conclude,1,6,31,6,31,0.9900482750164716,2.4583500281989625,Pre-2023
early,1,14,121,8,89,0.5913063223562522,2.449784203121264,Pre-2023
targets,1,3,8,2,8,1.5545140705928375,2.440879510094977,Pre-2023
visualization,1,3,8,2,7,1.5545140705928375,2.440879510094977,Pre-2023
constructive,1,3,8,3,7,1.5545140705928375,2.440879510094977,Pre-2023
technology,1,51,693,35,466,0.2819775457792124,2.4366512050553313,Pre-2023
young children,2,7,41,3,19,0.8889242663714558,2.434335488544788,Pre-2023
